Número de artículo,Descripción del artículo,Código SN,Nombre SN,Válido,De fecha,Hasta fecha,Nº catálogo SN,Descripción de catálogo de SN,Cantidad,Precio especial,Moneda del precio,Descuento en %
105877,ET VIVANT A LIFE WELL LIVED COMPLEMENTO FLOW FEELING NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/10/2024,,FLOW,FLOW,"1,000.00",165,COP,0
105877,ET VIVANT A LIFE WELL LIVED COMPLEMENTO FLOW FEELING NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/10/2024,,FLOW,FLOW,"2,000.00",103,COP,0
105877,ET VIVANT A LIFE WELL LIVED COMPLEMENTO FLOW FEELING NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/10/2024,,FLOW,FLOW,"3,000.00",78,COP,0
105877,ET VIVANT A LIFE WELL LIVED COMPLEMENTO FLOW FEELING NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/10/2024,,FLOW,FLOW,"5,000.00",60,COP,0
105877,ET VIVANT A LIFE WELL LIVED COMPLEMENTO FLOW FEELING NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/10/2024,,FLOW,FLOW,"7,000.00",54,COP,0
105877,ET VIVANT A LIFE WELL LIVED COMPLEMENTO FLOW FEELING NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/10/2024,,FLOW,FLOW,"10,000.00",50,COP,0
105877,ET VIVANT A LIFE WELL LIVED COMPLEMENTO FLOW FEELING NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/10/2024,,FLOW,FLOW,"15,000.00",44,COP,0
105988,ET VIVANT A LIFE WELL LIVED PRINCIPAL NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/19/2024,,PRINCIPAL VIVANT,PRINCIPAL VIVANT,500,749,COP,0
105988,ET VIVANT A LIFE WELL LIVED PRINCIPAL NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/19/2024,,PRINCIPAL VIVANT,PRINCIPAL VIVANT,"1,000.00",480,COP,0
105988,ET VIVANT A LIFE WELL LIVED PRINCIPAL NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/19/2024,,PRINCIPAL VIVANT,PRINCIPAL VIVANT,"2,000.00",350,COP,0
105988,ET VIVANT A LIFE WELL LIVED PRINCIPAL NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/19/2024,,PRINCIPAL VIVANT,PRINCIPAL VIVANT,"3,000.00",309,COP,0
105988,ET VIVANT A LIFE WELL LIVED PRINCIPAL NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/19/2024,,PRINCIPAL VIVANT,PRINCIPAL VIVANT,"5,000.00",273,COP,0
105988,ET VIVANT A LIFE WELL LIVED PRINCIPAL NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/19/2024,,PRINCIPAL VIVANT,PRINCIPAL VIVANT,"7,000.00",258,COP,0
105988,ET VIVANT A LIFE WELL LIVED PRINCIPAL NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/19/2024,,PRINCIPAL VIVANT,PRINCIPAL VIVANT,"10,000.00",249,COP,0
105988,ET VIVANT A LIFE WELL LIVED PRINCIPAL NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/19/2024,,PRINCIPAL VIVANT,PRINCIPAL VIVANT,"15,000.00",241,COP,0
101748,CARTON CUERO MIEL METRO X 1.50 M,PN900143295,ACCESORIOS TEXTILES DE COLOMBIA S.A.S,Y,1/4/2023,,19133301,CARTON CUERO NATURAL -20,1,"31,500.00",COP,0
102431,ADH FLEXO VINILO ESTATICO TTE 134 mm ADH,PN811029132,ADH PAPELES ADHESIVOS S. A.S,Y,12/22/2022,,VID305,1 - VINILO ESTATICO TTE PARA FLEXO UV 27.5 X 400 MTS MTS GENERAL FORMULATIONS 2SIDES COATED VSC-NTC,1,"4,053.18",COP,0
101748,CARTON CUERO MIEL METRO X 1.50 M,PN42895766,ADRIANA PATRICIA MEJIA ARTEAGA,Y,11/9/2023,,,,1,"27,000.00",COP,0
101131,ET CHEVI CUERO GENUINE LEATHER 2021 PEQUEÑA BILLETERA 7100839,CN901632404,AGROINVERSIONES LA ISLA SAS,Y,2/27/2025,,ET CHEVI CUERO GENUINE LEATHER,chevignon genuine leather,1,216,COP,0
100290,ET GENERICA DOBLE AGUA BENDITA,CN811044893,AGUA BENDITA S.A.S.,Y,1/7/2022,,AGUA BENDITA,Etiqueta de Línea Agua Bendita,1,400,COP,0
100291,BOLSA DE PAPEL AGUA BENDITA,CN811044893,AGUA BENDITA S.A.S.,Y,11/16/2022,,BOLSA AGUA BENDITA,BOLSA DE PAPEL AGUA BENDITA,1,989,COP,0
101761,ET GENERICA PPAL AGUA BENDITA ESTAMPADO DORADO,CN811044893,AGUA BENDITA S.A.S.,Y,9/1/2022,,AGUA BENDITA PPAL,Etiqueta Línea Agua Bendita 1 Sola Cara,1,353,COP,0
102026,SERVICIO DE MARCACION GANCHO AGUA BENDITA,CN811044893,AGUA BENDITA S.A.S.,Y,11/1/2022,,ganchos de agua bendita,ganchos de agua bendita,240,"2,050.00",COP,0
102038,NO USAR GANCHO AGUA BENDITA,CN811044893,AGUA BENDITA S.A.S.,Y,11/2/2022,,GANCHO AGUA BENDITA,GANCHO AGUA BENDITA,1,"2,050.00",COP,0
102379,BOLSA AGUA BENDITA HAND MADE DEVOTION 2023 PANTONE 50 X 33 X 14 CM,CN811044893,AGUA BENDITA S.A.S.,Y,12/12/2022,,BL00002,PAPEL MEDIANA (30x25x11) VARIOS DISEÑOS,1,"3,590.00",COP,0
102261,CJ CASA MADRE PAN AREQ CHOC BLAN Y CAN DESPENSA ARTESANAL,CN901501579,AHM CAPITAL SAS,Y,11/22/2022,,CAJA PANNETONE CASA MADRE,CAJA PANNETONE CASA MADRE,500,"3,831.00",COP,0
102261,CJ CASA MADRE PAN AREQ CHOC BLAN Y CAN DESPENSA ARTESANAL,CN901501579,AHM CAPITAL SAS,Y,11/22/2022,,CAJA PANNETONE CASA MADRE,CAJA PANNETONE CASA MADRE,"1,000.00","3,113.00",COP,0
102261,CJ CASA MADRE PAN AREQ CHOC BLAN Y CAN DESPENSA ARTESANAL,CN901501579,AHM CAPITAL SAS,Y,11/22/2022,,CAJA PANNETONE CASA MADRE,CAJA PANNETONE CASA MADRE,"2,000.00","2,835.00",COP,0
102261,CJ CASA MADRE PAN AREQ CHOC BLAN Y CAN DESPENSA ARTESANAL,CN901501579,AHM CAPITAL SAS,Y,11/22/2022,,CAJA PANNETONE CASA MADRE,CAJA PANNETONE CASA MADRE,"3,000.00","2,743.00",COP,0
102261,CJ CASA MADRE PAN AREQ CHOC BLAN Y CAN DESPENSA ARTESANAL,CN901501579,AHM CAPITAL SAS,Y,11/22/2022,,CAJA PANNETONE CASA MADRE,CAJA PANNETONE CASA MADRE,"4,000.00","2,696.00",COP,0
102261,CJ CASA MADRE PAN AREQ CHOC BLAN Y CAN DESPENSA ARTESANAL,CN901501579,AHM CAPITAL SAS,Y,11/22/2022,,CAJA PANNETONE CASA MADRE,CAJA PANNETONE CASA MADRE,"5,000.00","2,668.00",COP,0
102261,CJ CASA MADRE PAN AREQ CHOC BLAN Y CAN DESPENSA ARTESANAL,CN901501579,AHM CAPITAL SAS,Y,11/22/2022,,CAJA PANNETONE CASA MADRE,CAJA PANNETONE CASA MADRE,"7,000.00","2,637.00",COP,0
102261,CJ CASA MADRE PAN AREQ CHOC BLAN Y CAN DESPENSA ARTESANAL,CN901501579,AHM CAPITAL SAS,Y,11/22/2022,,CAJA PANNETONE CASA MADRE,CAJA PANNETONE CASA MADRE,"10,000.00","2,613.00",COP,0
101095,SERVICIO UV RESERVA SCREEN,PN32500720,ALBA ROSA MONSALVE DE SALAZAR,Y,10/7/2022,,RESERVA UV,,1,34.29,COP,0
105374,SERVICIO UV RESERVA SCREEN 105368 ET ENSAMBLADA AMIAMI RESORT FASHION AWAKEN KIT 2 PROINTIMO,PN32500720,ALBA ROSA MONSALVE DE SALAZAR,Y,7/23/2024,,,,1,0.01,COP,0
105507,ET OFFC SINCE 1979 MARCA 2024 HECHO EN COLOMBIA HRMC 201931,CN900311121,ALEJANDRA MR FASHION S.A.S,Y,8/11/2025,,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRM,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRMC 201931,"1,000.00",607,COP,0
105507,ET OFFC SINCE 1979 MARCA 2024 HECHO EN COLOMBIA HRMC 201931,CN900311121,ALEJANDRA MR FASHION S.A.S,Y,8/11/2025,,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRM,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRMC 201931,"2,000.00",416,COP,0
105507,ET OFFC SINCE 1979 MARCA 2024 HECHO EN COLOMBIA HRMC 201931,CN900311121,ALEJANDRA MR FASHION S.A.S,Y,8/11/2025,,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRM,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRMC 201931,"3,000.00",339.00,COP,0
105507,ET OFFC SINCE 1979 MARCA 2024 HECHO EN COLOMBIA HRMC 201931,CN900311121,ALEJANDRA MR FASHION S.A.S,Y,8/11/2025,,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRM,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRMC 201931,"5,000.00",277.00,COP,0
105507,ET OFFC SINCE 1979 MARCA 2024 HECHO EN COLOMBIA HRMC 201931,CN900311121,ALEJANDRA MR FASHION S.A.S,Y,8/11/2025,,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRM,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRMC 201931,"7,000.00",216.00,COP,0
105507,ET OFFC SINCE 1979 MARCA 2024 HECHO EN COLOMBIA HRMC 201931,CN900311121,ALEJANDRA MR FASHION S.A.S,Y,8/11/2025,,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRM,ET OFFC SINCE 1979 MARCA2024 HECHO EN COLOMBIA HRMC 201931,"10,000.00",165.00,COP,0
101321,SERVICIO DE CONVERSION DE PAPEL,PN71339834,ALEJANDRO GIRALDO YEPEZ,Y,5/6/2022,,1,CONVERSION DE PAPEL,1,230.00,COP,0
104402,ET ADH FLEXO LA MIA LAVA VAJILLAS LIQUIDO 500 ml ALLAN PRO,CN901518420,ALIANZA LATINOAMERICANA DE PRODUCTOS S.A.S,Y,9/12/2023,,ETIQUETA LAVAVAJILLA,ETIQUETA LAVAVAJILLA LIQUIDO 56MMX90 MM,"55,000.00",100.00,COP,0
106180,RODAMIENTOS 6206.2RSC3 FAG,PN900827832,ALMACEN LAS BALINERAS SAS,Y,10/19/2024,,6206.2RSC3 FAG,RODAMIENTO,1,"21,008.00",COP,0
105070,RODAMIENTOS BOLAS REF 6012RCS3 PARA LA LAMINADORA RODILLO CROMADO,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,1/12/2024,,6012.2RSC3.FAG,RODAMIENTOS BOLAS  6012-2RSR-L038-C3,1,"60,770.00",COP,0
105427,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6201.2RSC3.KOYO,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,5/14/2024,,6201.2RSC3.KOYO,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6201.2RSC3.KOYO,1,"9,360.00",COP,0
105428,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6001.2RS.KOYO,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,5/14/2024,,6001.2RS.KOYO,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6001.2RS.KOYO,1,"10,140.00",COP,0
105454,RODAMIENTOS AUTOMOTRICES JAPAN BCA STEYR,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,5/20/2024,,B8.74.FK,RODAMIENTO SAUTOMOTRICES JAPAN BCA STEYR,1,"8,113.00",COP,0
106170,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6201-2RSR-L038,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,12/26/2024,,6201-2RSR-L038,RODAMIENTO RIGIDO DE BOLAS 1 HILERA 6201.2RS.FAG,1,"12,806.00",COP,0
106381,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6202ZZC3.KOYO,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,3/7/2025,,6202ZZC3.KOYO,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6202ZZC3.KOYO,1,"10,137.00",COP,0
106450,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.ARSA,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,3/27/2025,,6203ZZ.ARSA,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.ARSA,1,"4,224.00",COP,0
106451,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.FAG,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,3/27/2025,,6203ZZ.FAG,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.FAG,1,"11,879.00",COP,0
106452,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.HTH,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,3/27/2025,,6203ZZ.HTH,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.HTH,1,"4,730.00",COP,0
106453,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.ISB,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,3/27/2025,,6203ZZ.ISB,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.ISB,1,"8,870.00",COP,0
106454,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.TIMKEN,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,3/27/2025,,6203ZZ.TIMKEN,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZ.TIMKEN,1,"10,137.00",COP,0
106455,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZC3.KOYO,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,3/27/2025,,6203ZZC3.KOYO,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6203ZZC3.KOYO,1,"11,826.00",COP,0
106486,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 62202-2RS.TIMKEN,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,4/2/2025,,62202.2RS.TIMKEN,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 62202.2RS.TIMKEN,1,"33,790.00",COP,0
106496,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6001-2HRS-L038 FAG,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,4/2/2025,,6001.2RS.FAG,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6001.2HRS-L038 FAG,1.00,"14,140.00",COP,0
106497,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6202-2RS KOYO,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,4/2/2025,,6202.2RS.KOYO,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6202.2RS.KOYO,1.00,"10,972.00",COP,0
106562,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6005ZZC3.KOYO,PN890907841,ALMACEN RODAMIENTOS S.A.,Y,4/8/2025,,6005ZZC3/2AS KOYO,RODAMIENTOS RIGIDO DE BOLAS 1 HILERA 6005ZZC3/2AS KOYO,1,"14,348.00",COP,0
101079,GASTO SERVICIO DE TRANSPORTE O FLETE SIN IVA PDN,PN900411441,ALMACEN SOLOENVASES SAS,Y,3/13/2023,,0102DOMICI,DOMICILIO,1,"17,000.00",COP,0
102852,PREPARADOR DE TINTAS FLEXO TARRO,PN900411441,ALMACEN SOLOENVASES SAS,Y,3/13/2023,,0053GR2000,E354-1-GARRAFA X 2 LTS CUADRADA RECUPERADA PEAD R:38 (ADO),1,"1,844.55",COP,0
101812,00010-4003702 ETQ TORTA T.L MORA POM X500G,CN890900608,ALMACENES EXITO S A,Y,9/21/2022,,4003702,4003702 ETQ TORTA T.L MORA POM X500G,1,198.00,COP,0
101858,00010-4003720 POSTRE TRES LECHES VAINILLA X 1950GR,CN890900608,ALMACENES EXITO S A,Y,9/21/2022,,4003720,4003720 POSTRE TRES LECHES VAINILLA X 1950GR,"1,000.00",198.00,COP,0
101858,00010-4003720 POSTRE TRES LECHES VAINILLA X 1950GR,CN890900608,ALMACENES EXITO S A,Y,9/21/2022,,4003720,4003720 POSTRE TRES LECHES VAINILLA X 1950GR,"5,000.00",120.00,COP,0
101859,00010-4003554 ETQ GEN FRESC COMID 11X4.5CM,CN890900608,ALMACENES EXITO S A,Y,9/22/2022,,4003554,4003554 ETQ GEN FRESC COMID 11X4.5CM,1,99.00,COP,0
101877,4002311 CAJA PANNETONE FRUTAS FRESCAMPO X 500GR,CN890900608,ALMACENES EXITO S A,Y,9/30/2022,,4002311,4002311 CAJA PANNETONE FRUTAS FRESCAMPO X 500GR,1,"2,200.00",COP,0
101901,4002313 CAJA PANNETONE CIRUELA FRESCAMPO X 500GR,CN890900608,ALMACENES EXITO S A,Y,10/1/2022,,4002313,4002312 CAJA PANNETONE CHOCOLAT FRESCAMPO X 500G,1,"2,200.00",COP,0
101902,4002312 CAJA PANNETONE CHOCOLAT FRESCAMPO X 500G,CN890900608,ALMACENES EXITO S A,Y,10/1/2022,,4002312,4002313 CAJA PANNETONE CIRUELA FRESCAMPO X 500G,1,"2,200.00",COP,0
101979,4003752 CAJA PANNETONE CHOCOLATE CARULLA X 500GR,CN890900608,ALMACENES EXITO S A,Y,10/8/2022,,4003752,003752 CAJA PANNETONE CHOCOLATE CARULLA X500GR,1.00,"2,200.00",COP,0
101980,4003750 CAJA PANNETONE FRUTAS CARULLA X 500GR,CN890900608,ALMACENES EXITO S A,Y,10/8/2022,,4003750,4003750 CAJA PANNETONE FRUTAS CARULLA X 500GR,1,"2,200.00",COP,0
101981,CAJA PANNETONE CIRUELA CARULLA X 500GR,CN890900608,ALMACENES EXITO S A,Y,10/8/2022,,,,1,"2,200.00",COP,0
102016,4003646 ETQ SALCHICHA SUIZA POMONA,CN890900608,ALMACENES EXITO S A,Y,10/27/2022,,4003646,4003646 ETQ SALCHICHA SUIZA POMONA,1,218,COP,0
102020,4002479 TAPA BASE ARBOL NAVID PEQ CTON CORRUG,CN890900608,ALMACENES EXITO S A,Y,10/27/2022,,4002479,TAPA BASE ARBOL NAVID PEQ CTON CORRUG,1,"2,100.00",COP,0
102021,4002310 ESTUCHE KRAFT ARBOL DE NAVIDAD,CN890900608,ALMACENES EXITO S A,Y,10/27/2022,,4002310,ESTUCHE KRAFT ARBOL DE NAVIDAD,1,"4,912.00",COP,0
102023,4003758 STICKER POMONA NAVIDAD,CN890900608,ALMACENES EXITO S A,Y,10/25/2022,,4003758,STICKER POMONA NAVIDAD,"6,000.00",182,COP,0
102027,4002212 ETQ IMP SALCHICHA PORCHIMAX 1.5KG,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4002212,4002212 ETQ IMP SALCHICHA PORCHIMAX 1.5KG,1,195,COP,0
102028,4002560 ETQ CHORIZO TIPO COCTEL X 250GR PORCHI,CN890900608,ALMACENES EXITO S A,Y,11/1/2022,,4002560,4002560 ETQ CHORIZO TIPO COCTEL X 250GR PORCHI,1,100,COP,0
102029,4002700 ETQ CHORIZO ECONOMICO PAGUE 18 LLEVE 22,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4002700,4002700 ETQ CHORIZO ECONOMICO PAGUE 18 LLEVE 22,1.00,430,COP,0
102030,4002897 ETQ MORTADELA MIXTA DE POLLO X 450GR,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4002897,4002897 ETQ MORTADELA MIXTA DE POLLO X 450GR,1.00,371,COP,0
102032,4001446 ETQ JAMON AHUMADO PAVO TAEQ P.V.,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4001446,4001446 ETQ JAMON AHUMADO PAVO TAEQ P.V,1,132.00,COP,0
102033,4001686 COLLARIN CHIFFON NAVIDEGNO CARULLA,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4001686,4001686 COLLARIN CHIFFON NAVIDEGNO CARULLA,1.00,120,COP,0
102034,4001697 ETQ PASTRAMI DE PAVO POMONA,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4001697,4001697 ETQ PASTRAMI DE PAVO POMONA,1,232.00,COP,0
102035,4002896 ETQ MORTADELA MIXTA DE POLLO X 225GR,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4002896,4002896 ETQ MORTADELA MIXTA DE POLLO X 225GR,1,125,COP,0
102036,4002931 ETQ MEDALLON POLLO CIRUELA X 450GR,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4002931,4002931 ETQ MEDALLON POLLO CIRUELA X 450GR,"1,000.00",768.38,COP,0
102036,4002931 ETQ MEDALLON POLLO CIRUELA X 450GR,CN890900608,ALMACENES EXITO S A,Y,11/2/2022,,4002931,4002931 ETQ MEDALLON POLLO CIRUELA X 450GR,"8,000.00",406,COP,0
102037,4003315 CAJA PONQUETON POMONA,CN890900608,ALMACENES EXITO S A,Y,11/1/2022,,4003315,4003315 CAJA PONQUETON POMONA,1,"2,500.00",COP,0
102039,4002264 ETQ COLLARIN POMONA GRANDE (32X7CM),CN890900608,ALMACENES EXITO S A,Y,9/29/2023,,4002264,4002264 ETQ COLLARIN POMONA GRANDE (32X7CM),"1,000.00",750,COP,0
102041,4002485 CAJA ESTRELLA DE NAVIDAD,CN890900608,ALMACENES EXITO S A,Y,11/8/2022,,4002485,4002485 CAJA ESTRELLA DE NAVIDAD,1.00,"2,200.00",COP,0
102042,4003236 ETQ JAMON DE CERDO EKONO 11.5X11.5CM,CN890900608,ALMACENES EXITO S A,Y,11/4/2022,,4003236,4003236 ETQ JAMON DE CERDO EKONO 11.5X11.5CM,1,125,COP,0
102043,4001448 ETQ JAMON PECHUGA DE PAVO TAEQ P.V.,CN890900608,ALMACENES EXITO S A,Y,11/4/2022,,4001448,4001448 ETQ JAMON PECHUGA DE PAVO TAEQ P.V.,"1,000.00",490,COP,0
102044,4000824 ETQ PECHUGA DE PAVO TAEQ P.V.,CN890900608,ALMACENES EXITO S A,Y,11/4/2022,,4000824,4000824 ETQ PECHUGA DE PAVO TAEQ P.V.,"1,000.00",700,COP,0
102048,4002611 ETQ JAMON CSRT PIMI PORCHI X 500 GR NAV,CN890900608,ALMACENES EXITO S A,Y,11/8/2022,,4002611,4002611 ETQ JAMON CSRT PIMI PORCHI X 500 GR NAV,1,310,COP,0
102054,NO USAR 4003542 ETQ ENROLLADO LIMON POM X720G,CN890900608,ALMACENES EXITO S A,Y,11/9/2022,,4003542,4003542 ETQ ENROLLADO LIMON POM X720G,1,228,COP,0
102079,4002610 ETQ JAMON AHUM PAVO PORCHI X 300 GR NAV,CN890900608,ALMACENES EXITO S A,Y,11/10/2022,,4002610,4002610 ETQ JAMON AHUM PAVO PORCHI X 300 GR NAV,"1,000.00",600.00,COP,0
102081,4003754 ETQ CENA PAVO PERNIL 28X15,CN890900608,ALMACENES EXITO S A,Y,11/10/2022,,4003754,4003754 ETQ CENA PAVO PERNIL 28X15,1,704.00,COP,0
102082,4003759 ETQ PECHUGA DE PAVO 17.5X11.2,CN890900608,ALMACENES EXITO S A,Y,11/10/2022,,4003759,4003759 ETQ PECHUGA DE PAVO 17.5X11.2,1.00,372.00,COP,0
102083,4003756 ETQ PERNIL DE CERDO 17.5X11.2,CN890900608,ALMACENES EXITO S A,Y,11/10/2022,,4003756,4003756 ETQ PERNIL DE CERDO 17.5X11.2,1.00,372.00,COP,0
102199,4000758 ETQ JAMON CERDO SELECCION PORCHI X 450GR,CN890900608,ALMACENES EXITO S A,Y,11/12/2022,,4000758,4000758 ETQ JAMON CERDO SELECCION PORCHI X 450GR,1,120,COP,0
102231,4003755 ETQ CENA POLLO PERNIL 28X15,CN890900608,ALMACENES EXITO S A,Y,11/17/2022,,4003755,4003755 ETQ CENA POLLO PERNIL 28X15,1,704,COP,0
102234,4003402 CAJA SAND RECT GEN EX CDM PLY 17.5X9.5CM,CN890900608,ALMACENES EXITO S A,Y,12/12/2022,,4003402,4003402 CAJA SAND RECT GEN EX CDM PLY 17.5X9.5CM,1,"4,027.00",COP,0
102235,4003404 CAJA TRIANGULAR SANDWICH EARTHPACT,CN890900608,ALMACENES EXITO S A,Y,12/12/2022,,4003404,4003404 CAJA TRIANGULAR SANDWICH EARTHPACT RES 810-2013,1,"6,325.00",COP,0
102236,4002372 CAJA PONQUE ABUELA MEDIANA X 1200GR,CN890900608,ALMACENES EXITO S A,Y,12/13/2022,,4002372,4002372 CAJA PONQUE ABUELA MEDIANA X 1200GR,"2,500.00","3,525.00",COP,0
102236,4002372 CAJA PONQUE ABUELA MEDIANA X 1200GR,CN890900608,ALMACENES EXITO S A,Y,12/13/2022,,4002372,4002372 CAJA PONQUE ABUELA MEDIANA X 1200GR,"3,000.00","3,525.00",COP,0
